Video,Titolo video,Ora pubblicazione video,Commenti aggiunti,N. di Non mi piace,N. di Mi piace,Iscritti persi,Iscritti conquistati,Visualizzazioni,Tempo di visualizzazione (ore),Iscritti,Le tue entrate stimate (EUR),Impressioni,Percentuale di clic delle impressioni (%)
Totale,,,1353,337,7357,176,2490,89910,10752.608,2314,403.037,1132304,5.2
p8rze8aXbBk,TESLA Inclusa nel S&P 500: Cosa Succede Ora??,"Nov 18, 2020",106,5,115,2,19,1474,292.6827,17,3.51,19888,4.63
u3-Q3FmRDbs,Il Mio PORTAFOGLIO da 26000€! Ecco Come lo Gestisco,"Sep 13, 2020",61,9,445,7,323,7486,956.9325,316,12.863,104900,4.21
A8RdtBMNTLQ,Qual è Il MIGLIOR Broker: DEGIRO vs eToro vs Trading212,"Oct 8, 2020",60,7,191,1,37,2094,286.7849,36,43.38,24943,4.85
83BnzNllyv8,NON Investo Più Finché... | 3 Azioni Dicembre 2020,"Dec 1, 2020",52,10,328,0,54,2572,384.2392,54,23.593,20551,8.18
tnC2bTe7btY,NIO: BOLLA o OCCASIONE?? | Analisi Trimestrale Nio,"Nov 21, 2020",49,6,204,4,40,1750,281.7306,36,2.842,15799,7.14
_BLNRxOiuTg,Quanti Soldi Ho PERSO Finora?? | Speciale 1000 Iscritti,"Oct 1, 2020",41,6,157,1,16,1472,209.7908,15,10.918,17736,5.44
3oqHZZzrRPk,Quanto Guadagno da Youtube con 2000 Iscritti?!,"Dec 5, 2020",36,4,189,2,26,1846,194.845,24,13.939,23021,5.34
ogelOyjMVFw,Investire ORA o Aspettare Ancora?? | Il Nuovo Crollo dei Mercati,"Oct 29, 2020",34,10,252,1,42,2509,244.8883,41,26.876,25188,6.66
gX3iIdvwfsI,Nuova BOLLA in Arrivo?? | Occhio a Questi Settori..,"Nov 10, 2020",32,11,201,1,22,2018,266.815,21,24.625,28905,4.71
57xSclHUn5Q,TESLA vs NIO: Quale è Meglio? | Due Grandi BOLLE??,"Jul 6, 2020",31,10,102,0,35,1769,202.335,35,4.248,22051,5.16
nzrhjPWmUSs,Come Pagare le TASSE con Degiro?,"Jul 11, 2020",31,10,146,0,50,2178,254.4189,50,6.411,20323,5.86
ATxdeGwj7Vw,La MIGLIORE Azione per Investire in ITALIA! | Analisi Intesa Sanpaolo,"Aug 22, 2020",30,6,136,0,37,2022,226.5886,37,7.34,32827,4.37
fql9ZjfOrC4,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni che Compro Settembre 2020,"Sep 3, 2020",30,2,106,1,41,2057,235.1907,40,2.447,24769,5.63
PIjLdOBUlqM,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni che Compro Ottobre 2020,"Oct 4, 2020",29,0,165,0,58,2879,408.2513,58,13.345,36766,5.06
TRIsIP98rgU,Investire in CINA: solo VANTAGGI o Tanti RISCHI? | Tutto Quello da Sapere,"Oct 21, 2020",28,5,170,1,20,1863,295.9079,19,18.227,28519,4.09
FehNFhqwWJ0,Ho CREATO un ETF! | I Miei Nuovi Investimenti,"Nov 13, 2020",27,8,143,2,14,1591,188.3456,12,13.568,14395,6.98
Y0o6MNSO1JE,TESLA: La BOLLA è Finalmente Scoppiata?? | Nuovo Crollo dei Mercati,"Sep 6, 2020",27,3,110,3,20,1430,122.6042,17,0.831,15469,6.36
NxP2ju2eNLg,Perché NON Investo in Europa?? | E Perché Continuerò a Non Farlo,"Dec 8, 2020",26,5,153,0,4,1217,143.4168,4,9.757,13489,5.57
Rj5GmhqGyGc,È Possibile RADDOPPIARE 1000€ in Pochi Mesi?! | Come Guadagnare 1000€ Realmente,"Sep 25, 2020",26,10,101,0,5,1321,151.309,5,6.901,15468,5.63
SBp65QbiyTY,APPLE Vale Davvero 2000 MILIARDI?? | A che Prezzo Comprare Apple?,"Aug 30, 2020",26,3,113,0,25,1252,154.4172,25,3.747,18732,4.62
SxwrRgBDMps,Quando VENDERE un'Azione?,"Nov 25, 2020",26,2,168,0,12,1291,172.932,12,16.225,17270,4.76
nw4A-7sBs0A,Investire nei Settori in Difficoltà: TRAPPOLA o OPPORTUNITÀ? | Analisi Recovery Stocks,"Sep 28, 2020",26,4,129,0,22,1529,224.6214,22,16.782,22724,4.31
6AA5iOS8cxc,Quanto STUDIARE Prima di Investire in AZIONI?? | Tutto Quello che Ti Serve,"Nov 16, 2020",25,3,132,0,7,1240,166.8995,7,5.279,17724,4.37
BZRh-RNx5JE,SNOWFLAKE: Ha Senso Compare Adesso?? | La Nuova Azione di Warren Buffett,"Sep 20, 2020",25,3,125,0,29,1303,149.6255,29,2.43,18689,4.4
KNrTarehupA,Il Dollaro È MORTO?? | Come Investire con il Dollaro Debole?,"Aug 17, 2020",25,4,94,0,9,889,107.0536,9,0.572,13420,4.24
YC47q9Rf9Gw,TESLA: Corsa Finita o Appena Iniziata?? | Le Mie Nuove Previsioni,"Oct 23, 2020",24,4,167,1,15,1398,174.5007,14,9.464,21223,4.09
SIZvKetVbz0,Pensione a 40 ANNI: SI PUÒ?! | La Mia Strategia,"Jun 3, 2020",22,8,114,0,26,1587,202.949,26,2.492,21489,5.02
VvsWZNqPqbs,Come Investire 1000€ in AZIONI? | Guida Realistica,"Sep 17, 2020",21,7,158,2,22,1668,220.7027,20,5.803,23877,4.51
agm1oCUZ1O0,TESLA vs NIO: Quanto Sono Importanti i Numeri? | Perché Tesla Dominerà il Decennio,"Oct 11, 2020",21,8,116,2,13,1170,154.1315,11,9.035,14844,4.21
K17Q7SffOo8,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni Che Compro Luglio 2020,"Jul 1, 2020",20,6,103,0,65,1828,191.0656,65,0.532,18104,6.89
Cwtt55TyyIo,A Che Prezzo Comprare TESLA Adesso?? | TESLA 2Q2020,"Aug 10, 2020",18,6,71,0,12,1065,132.2694,12,0.778,16035,4.22
TRnyY6XebB4,Le MIGLIORI Azioni da Seguire Ora | La Mia WATCHLIST,"Jun 10, 2020",17,3,71,2,30,1132,111.8185,28,1.226,12600,6.25
YgM8G6-1DIY,Come Creare il Portafoglio PERFETTO e Battere il Mercato??,"Jul 31, 2020",17,9,99,1,17,1287,138.1523,16,3.838,13747,6.2
fl9oO2539Mw,Il Mio Portafoglio da 16000€! | Ecco TUTTE le Azioni che Possiedo,"Apr 20, 2020",17,8,169,0,90,3307,362.3502,90,4.148,29226,6.97
Oqe7R_QUtn0,Le 3 AZIONI Più SOPRAVVALUTATE! | Le Peggiori Azioni da Comprare,"Jun 18, 2020",16,2,69,1,20,814,79.5716,19,0.55,11820,4.26
UrN1T1SfsIE,3 Azioni Da NON Comprare Agosto 2020 | Azioni da Osservare,"Aug 5, 2020",16,8,73,1,14,986,98.295,13,0.226,11950,5.73
fW6HVXOQ5lk,Chi Vincerà le ELEZIONI?? E Cosa Succederà ai MERCATI Dopo?,"Nov 2, 2020",16,0,88,1,5,876,87.9325,4,5.572,16503,3.53
k_c56YWKeQ0,L'errore più GRAVE negli Investimenti! | Ecco Cosa Ho Sbagliato,"Jul 15, 2020",16,8,118,0,6,1160,116.3002,6,3.174,10916,7.45
5xsAiaoGS9Y,Creare un Portafoglio con 1000€ al Mese | Una Poltrona per Due Episodio 2 con @Investi con Davide,"Aug 24, 2020",15,4,95,0,13,1386,154.6212,13,2.718,15615,5.39
PcJInZaULH4,Creare un Portafoglio con 1000€ al Mese | Una Poltrona per Due Episodio 4 con @Davide Ravera,"Oct 26, 2020",15,5,96,1,7,1495,190.0228,6,14.405,21064,4.64
IGGEJegyZPM,Come Fare Una Analisi Fondamentale da Zero? | Analisi Fondamentale di Coca Cola,"May 20, 2020",13,6,199,0,82,3593,441.1883,82,17.634,29977,8.5
WF1CAKubEdE,Perché NON Compro 3 Azioni a Novembre (forse),"Nov 6, 2020",13,4,163,1,26,2032,232.005,25,15.741,25452,5.47
yGt5qBzskUM,Big Four Americane: Quale È La Banca Migliore? | Investire nelle Banche,"Jul 19, 2020",13,6,68,1,6,586,65.5176,5,0.137,10829,3.51
QlNjvQB7kYE,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni che Compro Giugno 2020,"May 31, 2020",12,6,109,0,93,2925,266.1026,93,1.587,28756,7.6
l5FutIV8okc,Quali Sono i Miei Prossimi Obiettivi? | Speciale 100 Iscritti,"May 25, 2020",11,2,30,0,4,245,16.1871,4,0.065,6189,2.8
ai4qF5TbdoQ,Investire nell'IMMOBILIARE: Comprare Casa Ha Senso? | Investire in REIT?,"Jul 23, 2020",10,8,70,0,6,675,71.6269,6,0.615,11973,3.87
oz6zWuk19NY,Cosa Succede Dopo la BANCAROTTA? | Il Fallimento di HERTZ,"Jun 14, 2020",10,1,58,0,12,513,53.4843,12,0.475,9621,3.44
AtllqdKQi68,BTP Italia: Investire in Titoli di Stato HA SENSO?!?,"May 23, 2020",9,0,33,1,4,350,41.1003,3,0.352,8138,2.76
QNuEdemg9vg,Scommettere CONTRO I Mercati: Ha Senso Vendere Tutto??,"Jun 7, 2020",9,3,58,0,1,504,46.1256,1,0.183,7997,4.39
dBb-TaXtr9w,Quanto Serve per INIZIARE a Investire? | Ecco il Minimo per Investire!,"Jun 24, 2020",9,7,54,0,4,598,48.9608,4,1.543,8659,4.68
lmegUM3arJ8,NON Investire Ora! | Perché I Mercati DEVONO Scendere,"Apr 26, 2020",8,2,35,1,10,434,48.1589,9,0.38,6781,4.76
syMRfV1TLWQ,TESLA A 3000$ Entro 5 Anni! Comprare Azioni Tesla Adesso? | Trimestrale Aprile 2020,"Apr 30, 2020",8,2,29,0,10,643,58.9401,10,0.28,9899,4.36
7grWxjb6M1Q,Come Passare da 0€ a 15000€ In Un Anno,"Apr 6, 2020",7,8,79,0,10,953,135.7028,10,2.395,5163,13.5
kA9WRL3SaYA,Seconda Ondata nei Mercati?!? Cosa Fare Con un NUOVO Ribasso?,"Jun 28, 2020",7,3,86,0,12,635,52.7692,12,0.065,9454,4.38
QC5VF5Aqyfc,Perché NON TUTTI Possono Investire?,"May 6, 2020",5,5,39,0,2,256,22.3316,2,0.605,5443,3.44
_LRP4bGW9uI,Perché Il Mercato Continua A SALIRE?? | Tornerà A Scendere?,"May 27, 2020",5,3,46,0,7,437,48.394,7,0.438,8160,3.81
joo5mVBCOgY,Investire in DIVIDENDI Conviene Davvero? | Vivere di Rendita Passiva,"Apr 28, 2020",5,2,46,0,8,546,47.6353,8,1.325,8483,4.82
5FQ-cH82Fqc,Quando Comprare Azioni? | Cosa È IMPORTANTE Guardare,"Apr 17, 2020",3,1,75,0,5,599,68.2049,5,1.078,6257,7
 -vyzTpwd4Jw,Che cos'è Darko Ivanovski Investments,"Apr 1, 2020",2,3,43,0,5,451,8.8065,5,0,1549,23.5
04T9B4Tz_Ls,Ho GUADAGNATO il 112% Con NETFLIX! | Netflix È Sopravvalutata?,"May 14, 2020",2,6,30,0,2,267,20.972,2,0.374,5865,3.53
ZqXx7zmkmWE,APPLE Non Cresce Più?! È In CRISI? | Trimestrale Aprile 2020,"May 1, 2020",2,2,21,0,2,156,10.3207,2,0.048,4625,2.72
bHqlgYIilbA,Azioni Facebook REGALATE?! Il Miglior Affare sul Mercato | Trimestrale Aprile 2020,"Apr 30, 2020",2,4,33,0,9,341,21.0708,9,0.42,5670,4.48
nw-oF5Y1Fbk,Trimestrale Google Aprile 2020 | Cosa Ne Penso,"Apr 29, 2020",2,1,21,0,1,182,13.5516,1,0.187,4204,3.09
wTt8GoTJl34,UBER Perde 1 MILIARDO Al Mese! Comprare UBER adesso? | Trimestrale Maggio 2020,"May 8, 2020",2,2,10,1,0,239,16.6832,-1,0.669,5404,3.37
DslthLffuDg,Come Iniziare a Investire a Qualsiasi Età,"Apr 9, 2020",1,5,37,0,6,290,33.2311,6,0.321,3203,7.43
JFg4F2hgzm4,Warren Buffett Attende Un Altro CROLLO Dei Mercati! (E Perde 50 MILIARDI),"May 4, 2020",1,4,38,1,10,539,61.7567,9,0.74,8672,4.05
fmLw1jg89ig,BITCOIN È Uno SCHEMA PIRAMIDALE?? Cosa Dà VALORE a Bitcoin? | Comprare Prima dell'HALVING O No?,"May 11, 2020",1,4,23,0,3,295,20.6993,3,0.18,5658,3.46
 -UWJsbJL8Do,Ecco Perché NON Investire nel Petrolio! | Fai Attenzione a QUESTO Prima di Comprare,"Apr 21, 2020",0,2,19,0,0,167,13.6391,0,0.096,4366,2.75
AQVkDGjDNbg,Cosa Sono i CFD? Cosa Sono le Azioni? | Tutto Quello Che DEVI Sapere,"Apr 13, 2020",0,3,23,0,1,248,30.1325,1,0.489,3278,6.13
