Video,Titolo video,Ora pubblicazione video,Visualizzazioni,Tempo di visualizzazione (ore),Iscritti,Le tue entrate stimate (EUR),Impressioni,Percentuale di clic delle impressioni (%)
Totale,,,40329,4315.5002,754,74.681,503128,5.44
IGGEJegyZPM,Come Fare Una Analisi Fondamentale da Zero? | Analisi Fondamentale di Coca Cola,"May 20, 2020",3593,441.1883,82,17.634,29977,8.5
fl9oO2539Mw,Il Mio Portafoglio da 16000€! | Ecco TUTTE le Azioni che Possiedo,"Apr 20, 2020",3307,362.3502,90,4.148,29226,6.97
QlNjvQB7kYE,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni che Compro Giugno 2020,"May 31, 2020",2925,266.1026,93,1.587,28756,7.6
nzrhjPWmUSs,Come Pagare le TASSE con Degiro?,"Jul 11, 2020",2178,254.4189,50,6.411,20323,5.86
ATxdeGwj7Vw,La MIGLIORE Azione per Investire in ITALIA! | Analisi Intesa Sanpaolo,"Aug 22, 2020",2022,226.5886,37,7.34,32827,4.37
SIZvKetVbz0,Pensione a 40 ANNI: SI PUÒ?! | La Mia Strategia,"Jun 3, 2020",1587,202.949,26,2.492,21489,5.02
57xSclHUn5Q,TESLA vs NIO: Quale è Meglio? | Due Grandi BOLLE??,"Jul 6, 2020",1769,202.335,35,4.248,22051,5.16
K17Q7SffOo8,Le MIGLIORI 3 Azioni da COMPRARE! | 3 Azioni Che Compro Luglio 2020,"Jul 1, 2020",1828,191.0656,65,0.532,18104,6.89
5xsAiaoGS9Y,Creare un Portafoglio con 1000€ al Mese | Una Poltrona per Due Episodio 2 con @Investi con Davide,"Aug 24, 2020",1386,154.6212,13,2.718,15615,5.39
SBp65QbiyTY,APPLE Vale Davvero 2000 MILIARDI?? | A che Prezzo Comprare Apple?,"Aug 30, 2020",1252,154.4172,25,3.747,18732,4.62
YgM8G6-1DIY,Come Creare il Portafoglio PERFETTO e Battere il Mercato??,"Jul 31, 2020",1287,138.1523,16,3.838,13747,6.2
7grWxjb6M1Q,Come Passare da 0€ a 15000€ In Un Anno,"Apr 6, 2020",953,135.7028,10,2.395,5163,13.5
Cwtt55TyyIo,A Che Prezzo Comprare TESLA Adesso?? | TESLA 2Q2020,"Aug 10, 2020",1065,132.2694,12,0.778,16035,4.22
k_c56YWKeQ0,L'errore più GRAVE negli Investimenti! | Ecco Cosa Ho Sbagliato,"Jul 15, 2020",1160,116.3002,6,3.174,10916,7.45
TRnyY6XebB4,Le MIGLIORI Azioni da Seguire Ora | La Mia WATCHLIST,"Jun 10, 2020",1132,111.8185,28,1.226,12600,6.25
KNrTarehupA,Il Dollaro È MORTO?? | Come Investire con il Dollaro Debole?,"Aug 17, 2020",889,107.0536,9,0.572,13420,4.24
UrN1T1SfsIE,3 Azioni Da NON Comprare Agosto 2020 | Azioni da Osservare,"Aug 5, 2020",986,98.295,13,0.226,11950,5.73
Oqe7R_QUtn0,Le 3 AZIONI Più SOPRAVVALUTATE! | Le Peggiori Azioni da Comprare,"Jun 18, 2020",814,79.5716,19,0.55,11820,4.26
ai4qF5TbdoQ,Investire nell'IMMOBILIARE: Comprare Casa Ha Senso? | Investire in REIT?,"Jul 23, 2020",675,71.6269,6,0.615,11973,3.87
5FQ-cH82Fqc,Quando Comprare Azioni? | Cosa È IMPORTANTE Guardare,"Apr 17, 2020",599,68.2049,5,1.078,6257,7
yGt5qBzskUM,Big Four Americane: Quale È La Banca Migliore? | Investire nelle Banche,"Jul 19, 2020",586,65.5176,5,0.137,10829,3.51
JFg4F2hgzm4,Warren Buffett Attende Un Altro CROLLO Dei Mercati! (E Perde 50 MILIARDI),"May 4, 2020",539,61.7567,9,0.74,8672,4.05
syMRfV1TLWQ,TESLA A 3000$ Entro 5 Anni! Comprare Azioni Tesla Adesso? | Trimestrale Aprile 2020,"Apr 30, 2020",643,58.9401,10,0.28,9899,4.36
oz6zWuk19NY,Cosa Succede Dopo la BANCAROTTA? | Il Fallimento di HERTZ,"Jun 14, 2020",513,53.4843,12,0.475,9621,3.44
kA9WRL3SaYA,Seconda Ondata nei Mercati?!? Cosa Fare Con un NUOVO Ribasso?,"Jun 28, 2020",635,52.7692,12,0.065,9454,4.38
dBb-TaXtr9w,Quanto Serve per INIZIARE a Investire? | Ecco il Minimo per Investire!,"Jun 24, 2020",598,48.9608,4,1.543,8659,4.68
_LRP4bGW9uI,Perché Il Mercato Continua A SALIRE?? | Tornerà A Scendere?,"May 27, 2020",437,48.394,7,0.438,8160,3.81
lmegUM3arJ8,NON Investire Ora! | Perché I Mercati DEVONO Scendere,"Apr 26, 2020",434,48.1589,9,0.38,6781,4.76
joo5mVBCOgY,Investire in DIVIDENDI Conviene Davvero? | Vivere di Rendita Passiva,"Apr 28, 2020",546,47.6353,8,1.325,8483,4.82
QNuEdemg9vg,Scommettere CONTRO I Mercati: Ha Senso Vendere Tutto??,"Jun 7, 2020",504,46.1256,1,0.183,7997,4.39
AtllqdKQi68,BTP Italia: Investire in Titoli di Stato HA SENSO?!?,"May 23, 2020",350,41.1003,3,0.352,8138,2.76
DslthLffuDg,Come Iniziare a Investire a Qualsiasi Età,"Apr 9, 2020",290,33.2311,6,0.321,3203,7.43
AQVkDGjDNbg,Cosa Sono i CFD? Cosa Sono le Azioni? | Tutto Quello Che DEVI Sapere,"Apr 13, 2020",248,30.1325,1,0.489,3278,6.13
QC5VF5Aqyfc,Perché NON TUTTI Possono Investire?,"May 6, 2020",256,22.3316,2,0.605,5443,3.44
bHqlgYIilbA,Azioni Facebook REGALATE?! Il Miglior Affare sul Mercato | Trimestrale Aprile 2020,"Apr 30, 2020",341,21.0708,9,0.42,5670,4.48
04T9B4Tz_Ls,Ho GUADAGNATO il 112% Con NETFLIX! | Netflix È Sopravvalutata?,"May 14, 2020",267,20.972,2,0.374,5865,3.53
fmLw1jg89ig,BITCOIN È Uno SCHEMA PIRAMIDALE?? Cosa Dà VALORE a Bitcoin? | Comprare Prima dell'HALVING O No?,"May 11, 2020",295,20.6993,3,0.18,5658,3.46
wTt8GoTJl34,UBER Perde 1 MILIARDO Al Mese! Comprare UBER adesso? | Trimestrale Maggio 2020,"May 8, 2020",239,16.6832,-1,0.669,5404,3.37
l5FutIV8okc,Quali Sono i Miei Prossimi Obiettivi? | Speciale 100 Iscritti,"May 25, 2020",245,16.1871,4,0.065,6189,2.8
 -UWJsbJL8Do,Ecco Perché NON Investire nel Petrolio! | Fai Attenzione a QUESTO Prima di Comprare,"Apr 21, 2020",167,13.6391,0,0.096,4366,2.75
nw-oF5Y1Fbk,Trimestrale Google Aprile 2020 | Cosa Ne Penso,"Apr 29, 2020",182,13.5516,1,0.187,4204,3.09
ZqXx7zmkmWE,APPLE Non Cresce Più?! È In CRISI? | Trimestrale Aprile 2020,"May 1, 2020",156,10.3207,2,0.048,4625,2.72
 -vyzTpwd4Jw,Che cos'è Darko Ivanovski Investments,"Apr 1, 2020",451,8.8065,5,0,1549,23.5
